ipc_date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage,rainfall_date,mean_rainfall_mm,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
2020-08-01,Aug 2020,Baringo,3,33339,666783,0.05,2020-07-01,100.25511,240.15023040771484,433.3938322067261,80.05007680257161,72.23230536778767,2020-07-01,0.6657452521143867,0.6657452521143867,0.6615768683891218,0.6100977089865464,0.0891085000835878
2020-08-01,Aug 2020,Embu,2,0,272357,0.0,2020-07-01,8.877775,73.74873447418213,341.4679651260376,24.582911491394043,56.91132752100626,2020-07-01,0.6801686366586343,0.6801686366586343,0.7514733119364966,0.761915168312535,-0.0053855767823502
2020-08-01,Aug 2020,Garissa,3,84135,841353,0.1,2020-07-01,23.750137,50.93686199188232,146.16579461097717,16.97895399729411,24.3609657684962,2020-07-01,0.2317446928006773,0.2317446928006773,0.3035156096859484,0.3289202295879727,0.0094603110235605
2020-08-01,Aug 2020,Isiolo,3,26800,268002,0.1,2020-07-01,0.7762971,5.2785322070121765,103.01693600416183,1.7595107356707256,17.169489334026974,2020-07-01,0.2421734353924964,0.2421734353924964,0.2930706821989997,0.3217173185349862,0.0211291948242942
2020-08-01,Aug 2020,Kajiado,2,0,1117840,0.0,2020-07-01,1.2856907,20.591490149497982,215.3569148778916,6.863830049832662,35.892819146315254,2020-07-01,0.3840049499664221,0.3840049499664221,0.4798511712250106,0.544094885812621,0.0631673643208642
2020-08-01,Aug 2020,Kilifi,3,72689,1453787,0.05,2020-07-01,50.907055,171.1066932678223,374.0424818992615,57.03556442260742,62.34041364987692,2020-07-01,0.6669657495912983,0.6669657495912983,0.6599905380883406,0.6316669000680942,0.1202929154383352
2020-08-01,Aug 2020,Kitui,2,0,1136187,0.0,2020-07-01,9.123494,23.67089295387268,227.99403023719788,7.890297651290893,37.99900503953298,2020-07-01,0.3963033227915045,0.3963033227915045,0.476178552356933,0.5934800222174271,0.0592962000526958
2020-08-01,Aug 2020,Kwale,3,43341,866820,0.05,2020-07-01,40.178917,159.8009910583496,438.9033117294312,53.26699701944987,73.1505519549052,2020-07-01,0.6009950737068342,0.6009950737068342,0.6150824471248036,0.6381822252925623,0.1120716125418235
2020-08-01,Aug 2020,Laikipia,2,0,518560,0.0,2020-07-01,37.527737,148.68258666992188,373.6090145111084,49.56086222330729,62.26816908518473,2020-07-01,0.5957044914924062,0.5957044914924062,0.6219604134094651,0.570716732862785,0.109642971630093
2020-08-01,Aug 2020,Lamu,3,7196,143920,0.05,2020-07-01,39.84865,169.65276718139648,293.56356060504913,56.55092239379883,48.92726010084152,2020-07-01,0.7333505441228919,0.7333505441228919,0.7625504363155952,0.7245702416908973,0.0152694993305106
2020-08-01,Aug 2020,Makueni,2,0,987653,0.0,2020-07-01,3.4799373,13.00717544555664,144.10975646972656,4.33572514851888,24.018292744954422,2020-07-01,0.4284939452374487,0.4284939452374487,0.5091015915215559,0.60525482692687,0.0358512985569107
2020-08-01,Aug 2020,Mandera,4,130119,867457,0.15,2020-07-01,4.651261,15.556829929351808,128.4381561279297,5.1856099764506025,21.40635935465495,2020-07-01,0.3075953988915338,0.3075953988915338,0.3679980723662274,0.3637899812604856,0.0435121303780186
2020-08-01,Aug 2020,Marsabit,3,68968,459785,0.15,2020-07-01,5.742441,22.72237515449524,165.13475918769836,7.574125051498413,27.5224598646164,2020-07-01,0.2067126384493996,0.2067126384493996,0.2611047708995549,0.2754411355874799,0.0181372822623454
2020-08-01,Aug 2020,Meru,2,0,1026975,0.0,2020-07-01,9.212425,65.840256690979,384.4527540206909,21.946752230326336,64.07545900344849,2020-07-01,0.5102651540223362,0.5102651540223362,0.6023814697852021,0.6359254493156917,0.0559772009540665
2020-08-01,Aug 2020,Narok,2,0,1157873,0.0,2020-07-01,16.751587,101.84828186035156,395.0655288696289,33.94942728678385,65.84425481160481,2020-07-01,0.5816347042302693,0.5816347042302693,0.6446386493896605,0.6693783788357742,0.0498982675880214
2020-08-01,Aug 2020,Nyeri,2,0,198901,0.0,2020-07-01,23.236055,193.82080268859863,597.6545543670654,64.60693422953288,99.60909239451092,2020-07-01,0.708988492270371,0.708988492270371,0.7483564307415714,0.7551933570989533,0.0728422456824711
2020-08-01,Aug 2020,Samburu,3,31033,310327,0.1,2020-07-01,10.768847,53.73976993560791,235.7600250244141,17.913256645202637,39.29333750406901,2020-07-01,0.386033860286315,0.386033860286315,0.4486578289585878,0.4475512055296073,0.0551319632509795
2020-08-01,Aug 2020,Taita Taveta,2,0,340671,0.0,2020-07-01,9.755329,33.06370258331299,246.2675828933716,11.021234194437662,41.044597148895264,2020-07-01,0.3761263944362487,0.3761263944362487,0.4377645357374116,0.5607908871451409,0.0652405110520908
2020-08-01,Aug 2020,Tana River,3,31594,315943,0.1,2020-07-01,15.70364,32.84562969207764,123.48386335372923,10.948543230692543,20.580643892288208,2020-07-01,0.3030246716041838,0.3030246716041838,0.3499710708714436,0.3926991342952594,0.0460995954958606
2020-08-01,Aug 2020,Tharaka Nithi,2,0,133076,0.0,2020-07-01,7.1125865,57.71176242828369,325.7168245315552,19.23725414276123,54.286137421925865,2020-07-01,0.3903615346121493,0.3903615346121493,0.4921692161910647,0.5408083594781399,0.0274077431493336
