month,national_beans_price_per_kg,national_maize_price_per_kg,national_rice_price_per_kg,national_staple_price_per_kg,national_maize_price_per_kg_3_month_avg,national_maize_price_per_kg_6_month_avg,national_beans_price_per_kg_3_month_avg,national_beans_price_per_kg_6_month_avg,national_rice_price_per_kg_3_month_avg,national_rice_price_per_kg_6_month_avg,national_staple_price_per_kg_3_month_avg,national_staple_price_per_kg_6_month_avg
2013-02-01,64.54144444444444,39.81324786324786,,52.177346153846145,40.51012583095916,41.66694254510921,62.782868312757195,62.653033215755435,,,51.64649707185817,52.15998788043232
2013-03-01,70.861,40.23546296296296,,55.54823148148148,39.98265669515669,41.06101970560304,65.46645267489711,64.38674485596708,,,52.7245546850269,52.723882280785055
2013-04-01,74.89,43.54070707070707,,59.215353535353536,41.19647263230596,41.24967150133816,70.09748148148147,66.19939917695473,,,55.64697705689372,53.72453533914645
2013-05-01,74.7608888888889,41.762735042735045,,58.26181196581197,41.84630169213503,41.17821376154709,73.50396296296297,68.14341563786009,,,57.675132327548994,54.66081469970359
2013-06-01,71.25,42.154722222222226,,56.70236111111112,42.48605477855478,41.23435573685574,73.63362962962964,69.55004115226338,,,58.059842204092206,55.39219844455955
2013-07-01,67.43477777777778,40.904074074074074,,54.16942592592593,41.607177113010444,41.4018248726582,71.14855555555556,70.62301851851852,,,56.377866334283006,56.012421695588365
2013-08-01,68.44098765432098,39.878055555555555,,54.15952160493826,40.97895061728395,41.41262615470949,69.04192181069958,71.27294238683128,,,55.01043621399177,56.34278427077038
2013-09-01,73.00488888888889,39.48583333333333,,56.24536111111111,40.08932098765431,41.28768788310455,69.62688477366254,71.63025720164609,,,54.858102880658436,56.45897254237533
2013-10-01,75.42788888888889,41.73083333333334,,58.57936111111111,40.36490740740741,40.986042260208926,72.29125514403292,71.71990534979425,,,56.32808127572016,56.35297380500159
2013-11-01,73.42833333333333,41.72037037037037,,57.574351851851844,40.97901234567901,40.97898148148148,73.9537037037037,71.49781275720164,,,57.46635802469135,56.23839711934156
2013-12-01,72.84802469135803,41.13175925925926,,56.98989197530865,41.52765432098766,40.80848765432099,73.90141563786007,71.76415020576131,,,57.71453497942387,56.286318930041155
