date,year,month,county,mean_rainfall_mm,source_file
2019-09-01,2019,9,Samburu,5.6273437,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Taita Taveta,17.83825,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Tana River,11.430438,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Tharaka Nithi,5.303586,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Turkana,5.14896,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Wajir,4.4261513,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,West Pokot,29.993757,chirps-v2.0.2019.09.tif
2019-10-01,2019,10,Baringo,63.26047,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Embu,148.92053,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Garissa,58.23535,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Isiolo,43.800125,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Kajiado,43.19771,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Kilifi,160.3643,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Kitui,98.21698,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Kwale,195.32747,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Laikipia,78.93096,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Lamu,64.82716,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Makueni,48.36232,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Mandera,77.59735,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Marsabit,66.19371,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Meru,180.8239,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Narok,52.472137,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Nyeri,178.35904,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Samburu,59.095936,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Taita Taveta,97.584404,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Tana River,59.215073,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Tharaka Nithi,151.01599,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Turkana,22.16099,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,Wajir,91.1848,chirps-v2.0.2019.10.tif
2019-10-01,2019,10,West Pokot,77.08609,chirps-v2.0.2019.10.tif
2019-11-01,2019,11,Baringo,51.63457,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Embu,160.23648,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Garissa,131.87077,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Isiolo,64.899994,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Kajiado,79.15805,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Kilifi,115.60165,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Kitui,180.69286,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Kwale,76.306465,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Laikipia,96.019966,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Lamu,75.09945,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Makueni,86.82766,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Mandera,69.03203,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Marsabit,59.13511,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Meru,204.20045,chirps-v2.0.2019.11.tif
