county,month,county_beans_price_per_kg,county_maize_price_per_kg,county_rice_price_per_kg,county_staple_price_per_kg,county_price_available,county_staple_items_available,county_maize_price_per_kg_3_month_avg,county_maize_price_per_kg_6_month_avg,county_beans_price_per_kg_3_month_avg,county_beans_price_per_kg_6_month_avg,county_rice_price_per_kg_3_month_avg,county_rice_price_per_kg_6_month_avg,county_staple_price_per_kg_3_month_avg,county_staple_price_per_kg_6_month_avg
Garissa,2019-09-01,,68.0,,68.0,1,1,68.0,66.83333333333333,,,,,68.0,66.83333333333333
Garissa,2019-10-01,,67.0,,67.0,1,1,67.66666666666667,67.16666666666667,,,,,67.66666666666667,67.16666666666667
Garissa,2019-11-01,,68.0,,68.0,1,1,67.66666666666667,67.66666666666667,,,,,67.66666666666667,67.66666666666667
Garissa,2019-12-01,,68.0,,68.0,1,1,67.66666666666667,67.83333333333333,,,,,67.66666666666667,67.83333333333333
Garissa,2020-04-01,,68.0,,68.0,1,1,68.0,67.83333333333333,,,,,68.0,67.83333333333333
Garissa,2020-05-01,,68.0,,68.0,1,1,68.0,67.83333333333333,,,,,68.0,67.83333333333333
Garissa,2020-06-01,,68.0,,68.0,1,1,68.0,67.83333333333333,,,,,68.0,67.83333333333333
Garissa,2020-07-01,,68.0,,68.0,1,1,68.0,68.0,,,,,68.0,68.0
Garissa,2020-08-01,,68.0,,68.0,1,1,68.0,68.0,,,,,68.0,68.0
Garissa,2020-09-01,,70.0,,70.0,1,1,68.66666666666667,68.33333333333333,,,,,68.66666666666667,68.33333333333333
Garissa,2020-10-01,,70.0,,70.0,1,1,69.33333333333333,68.66666666666667,,,,,69.33333333333333,68.66666666666667
Garissa,2020-11-01,,70.0,,70.0,1,1,70.0,69.0,,,,,70.0,69.0
Garissa,2020-12-01,,70.0,,70.0,1,1,70.0,69.33333333333333,,,,,70.0,69.33333333333333
Garissa,2021-01-01,93.08425925925927,39.556666666666665,94.16666666666667,75.60253086419753,1,3,59.852222222222224,64.59277777777778,93.08425925925927,93.08425925925927,94.16666666666667,94.16666666666667,71.86751028806584,70.60042181069959
Garissa,2021-02-01,85.54074074074073,,110.84,98.19037037037037,1,2,54.778333333333336,63.91133333333333,89.3125,89.3125,102.50333333333333,102.50333333333333,81.26430041152264,75.63215020576132
Garissa,2021-03-01,95.64285714285714,58.8475,89.41666666666667,81.30234126984128,1,3,49.202083333333334,61.680833333333325,91.42261904761904,91.42261904761904,98.14111111111112,98.14111111111112,85.03174750146974,77.51587375073485
Garissa,2021-04-01,96.79833333333333,50.189166666666665,89.42166666666667,78.80305555555556,1,3,54.51833333333333,57.718666666666664,92.66064373897706,92.76654761904761,96.55944444444445,95.96125,86.09858906525574,78.9830496766608
Garissa,2021-05-01,92.81933333333333,51.6575,87.96000000000001,77.47894444444445,1,3,53.56472222222222,54.05016666666667,95.08684126984127,92.77710476190477,88.93277777777779,94.361,79.19478042328042,80.22954041740154
Garissa,2021-06-01,97.72583333333333,55.95399999999999,92.48166666666667,82.05383333333333,1,3,52.600222222222214,51.240966666666665,95.78116666666666,93.60189285714286,89.95444444444445,94.04777777777777,79.44527777777778,82.23851263962375
Garissa,2021-07-01,92.5525,54.464,87.87,78.2955,1,3,54.02516666666666,54.222433333333335,94.36588888888889,93.51326631393299,89.43722222222222,92.99833333333333,79.27609259259259,82.68734082892418
Garissa,2021-08-01,97.018,67.38,88.63,84.34266666666666,1,3,59.266,56.41536111111111,95.76544444444444,95.42614285714285,89.66055555555556,89.29666666666667,81.56400000000001,80.37939021164021
Garissa,2021-09-01,96.9587037037037,63.572,88.616,83.0489012345679,1,3,61.80533333333333,57.20277777777778,95.50973456790122,95.64545061728394,88.372,89.16322222222222,81.89568930041152,80.67048353909466
Garissa,2021-10-01,94.68158730158731,56.71,88.8,80.06386243386244,1,3,62.554,58.28958333333333,96.219430335097,95.29265961199296,88.682,89.05961111111111,82.48514344503234,80.88061801881246
Garissa,2021-11-01,94.0592857142857,53.442499999999995,91.87,79.79059523809524,1,3,57.908166666666666,58.58708333333333,95.23319223985891,95.49931834215168,89.762,89.71127777777777,80.96778630217518,81.2658931510876
Garissa,2021-12-01,98.62166666666667,58.462,91.088,82.72388888888888,1,3,56.20483333333333,59.005083333333324,95.78751322751323,95.64862389770724,90.58600000000001,89.479,80.85944885361552,81.37756907701352
Garissa,2022-01-01,96.5,53.875,98.33500000000001,82.90333333333334,1,3,55.259833333333326,58.90691666666666,96.39365079365079,96.3065405643739,93.76433333333334,91.22316666666666,81.80593915343916,82.14554129923575
Garissa,2022-02-01,100.0,54.375,104.58500000000001,86.32000000000001,1,3,55.57066666666666,56.73941666666667,98.37388888888889,96.8035405643739,98.00266666666668,93.88233333333334,83.98240740740741,82.4750968547913
Garissa,2022-03-01,89.75,40.666666666666664,126.25,85.55555555555554,1,3,49.63888888888889,52.92186111111112,95.41666666666667,95.60208994708995,109.72333333333334,100.15466666666667,84.9262962962963,82.8928725749559
Garissa,2022-04-01,97.0,44.666666666666664,131.25,90.97222222222221,1,3,46.56944444444445,50.91463888888888,95.58333333333333,95.98849206349206,120.69500000000001,107.22966666666666,87.61592592592592,84.71093253968253
Garissa,2022-05-01,106.375,52.0,131.6666,96.68053333333334,1,3,45.77777777777778,50.67422222222222,97.70833333333333,98.0411111111111,129.7222,113.86243333333334,91.06943703703705,87.52592222222222
Garissa,2022-06-01,104.0851851851852,62.166666666666664,160.0,108.7506172839506,1,3,52.944444444444436,51.291666666666664,102.48672839506173,98.9516975308642,140.97220000000002,125.34776666666666,98.80112427983539,91.86371028806583
Garissa,2022-07-01,106.25,81.25555555555556,158.12,115.20851851851853,1,3,65.14074074074074,55.8550925925926,105.57006172839506,100.5766975308642,149.92886666666666,135.31193333333334,106.87988971193415,97.24790781893005
Garissa,2022-08-01,114.95833333333334,75.0,171.6666,120.54164444444444,1,3,72.80740740740741,59.2925925925926,108.43117283950619,103.06975308641977,163.2622,146.4922,114.83359341563785,102.95151522633745
Garissa,2022-09-01,120.25,85.0,176.6666,127.30553333333334,1,3,80.41851851851851,66.68148148148147,113.81944444444446,108.1530864197531,168.81773333333334,154.89496666666665,121.01856543209878,109.90984485596708
Garissa,2022-10-01,173.4,73.8,181.6,142.9333333333333,1,3,77.93333333333334,71.53703703703704,136.20277777777778,120.88641975308643,176.6444,163.28663333333333,130.26017037037036,118.57003004115226
Garissa,2022-11-01,157.5,76.25555555555556,152.5,128.75185185185185,1,3,78.35185185185186,75.57962962962964,150.38333333333333,129.40725308641976,170.25553333333332,166.75886666666665,132.99690617283952,123.91524979423868
Garissa,2022-12-01,185.0,,,185.0,1,1,75.02777777777777,78.26222222222222,171.96666666666667,142.89305555555555,167.04999999999998,168.11064,152.22839506172838,136.6234802469136
Garissa,2023-01-01,131.26333333333332,62.9,129.2475,107.80361111111112,1,3,69.57777777777778,74.5911111111111,157.92111111111112,147.06194444444444,140.87375,162.33614,140.51848765432098,135.38932901234568
Garissa,2023-02-01,152.42000000000002,64.73333333333333,129.41,115.52111111111113,1,3,63.81666666666666,72.53777777777778,156.2277777777778,153.30555555555557,129.32875,153.88482,136.10824074074074,134.55257345679013
Garissa,2023-03-01,158.6511111111111,67.18111111111111,124.5175,116.78324074074074,1,3,64.93814814814814,68.974,147.4448148148148,159.70574074074074,127.72500000000001,143.45499999999998,113.36932098765432,132.79885802469136
Garissa,2023-04-01,168.14600000000002,64.72666666666667,131.1975,121.35672222222223,1,3,65.54703703703704,67.15933333333334,159.73903703703704,158.83007407407408,128.375,133.37449999999998,117.88702469135802,129.2027561728395
Garissa,2023-05-01,173.36,61.78333333333333,133.51,122.88444444444444,1,3,64.56370370370371,64.26488888888889,166.71903703703705,161.47340740740742,129.74166666666667,129.57649999999998,120.34146913580247,128.2248549382716
Garissa,2023-06-01,181.0666666666667,63.54,114.15333333333335,119.58666666666669,1,3,63.35,64.14407407407407,174.1908888888889,160.81785185185186,126.28694444444444,127.00597222222223,121.27594444444446,117.32263271604938
Garissa,2023-07-01,179.18333333333334,68.92416666666666,128.395,125.50083333333335,1,3,64.74916666666667,65.14810185185185,177.87,168.80451851851853,125.3527777777778,126.86388888888888,122.65731481481482,120.27216975308643
Garissa,2023-08-01,173.04333333333332,95.82333333333334,110.005,126.29055555555556,1,3,76.09583333333333,70.32976851851852,177.76444444444442,172.24174074074074,117.5177777777778,123.62972222222221,123.79268518518519,122.06707716049384
Garissa,2023-09-01,160.33333333333334,69.78999999999999,117.47333333333334,115.86555555555556,1,3,78.17916666666666,70.76458333333333,170.85333333333332,172.52211111111114,118.62444444444446,122.45569444444443,122.5523148148148,121.91412962962964
Garissa,2023-10-01,161.23333333333335,72.78074074074074,119.295,117.7696913580247,1,3,79.4646913580247,72.10692901234567,164.87,171.37,115.59111111111115,120.47194444444443,119.97526748971194,121.31629115226337
Garissa,2023-11-01,198.26666666666665,84.31,141.17666666666665,141.2511111111111,1,3,75.62691358024692,75.86137345679012,173.2777777777778,175.52111111111108,125.98166666666668,121.74972222222225,124.96211934156379,124.3774022633745
Garissa,2023-12-01,186.29,95.96142857142857,161.62,147.95714285714286,1,3,84.35072310405643,81.26494488536156,181.92999999999998,176.39166666666668,140.69722222222222,129.66083333333333,135.65931510875956,129.1058149617872
